title,category_slug,area_slug,description,price,address,phone,email,website,whatsapp,amenities,image_url
Kolaba Fort Guided Tour,explore,alibaug-town,"Step into the 17th-century Kolaba Fort built by Chhatrapati Shivaji Maharaj. At low tide you can walk across the shallow sea to reach it; a knowledgeable guide brings the history to life with stories of Maratha sea power.",500,,9823456789,,,Walking Tour | Low-tide access from Alibaug Beach,,
Kanakeshwar Forest Trek,explore,alibaug-town,"A guided half-day nature trek through the dense Kanakeshwar forest to the ancient Lord Shiva temple on the hilltop. The trail passes through lush greenery, streams, and rich birdlife.",300,,9823456789,,,,
Nagaon Beach Water Sports,explore,nagaon,"Alibaug's premier water sports hub offering jet skiing, banana boat rides, parasailing, zorbing, and speed boat rides. Operated by certified instructors on the clean shores of Nagaon beach.",800,"Nagaon Beach, Alibaug, Maharashtra 402201",9870012345,,,,Free Parking|Beach View,
Murud-Janjira Fort Day Trip,explore,alibaug-town,"Explore the majestic Murud-Janjira — India's only unconquered sea fort. A scenic 1.5-hour drive from Alibaug followed by a short boat ride takes you to this remarkable island fortress surrounded by the Arabian Sea.",600,"Murud, Raigad District, Maharashtra 402401",9889012345,,,,Free Parking,
Kashid Beach Camping,explore,kashid,"A guided overnight camping experience on Kashid's pristine white-sand beach. Includes bonfire, BBQ dinner, beach games, and a sunrise yoga session. Accessible via a scenic coastal drive from Alibaug.",2500,"Kashid Beach, Raigad, Maharashtra 402401",9876501234,,,Beach camping package,,Free Parking|Beach View|BBQ Grill,
Konkan Food & Culture Walk,events,alibaug-town,"A curated 2-hour walking and tasting tour through Alibaug town's local markets, fishing docks, and street food stalls. Meet local fishermen, taste fresh kolambi bhaji, solkadhi, and discover the town's Portuguese-Maratha heritage.",799,,9823412890,,,,
Nagaon Sunset Beach Party,events,nagaon,"A monthly sunset beach party on Nagaon beach featuring local DJs, food trucks, live art installations, and beach bonfires. The most popular social event of the Alibaug weekend calendar.",1200,"Nagaon Beach, Alibaug, Maharashtra 402201",9870012345,,,,Free Parking|Beach View,
Alibaug Craft Beer Festival,events,alibaug-town,"An annual two-day outdoor craft beer and food festival in Alibaug town featuring 15+ Indian craft breweries, live bands, street food, and craft workshops. Draws crowds from Mumbai and Pune every season.",1500,,9823456789,,,,Free Parking,
Weekend Yoga & Wellness Retreat,events,kihim,"A weekend mindfulness retreat at a Kihim beachside property offering sunrise yoga, meditation sessions, pranayama workshops, Ayurvedic meals, and herbal oil massages. Limited to 12 participants.",5500,"Kihim Beach, Alibaug, Maharashtra 402201",9561234567,,,,WiFi|Pool|Meals Included|Beach View,
Konkan Stargazing Night,events,kashid,"An intimate guided stargazing experience on the open fields of Kashid with a professional astronomer. Includes telescope viewing, constellation stories, a bonfire, and traditional Konkan dinner.",1800,"Kashid, Raigad, Maharashtra 402401",9876501234,,,,Free Parking|BBQ Grill,
Mandwa Ferry Service,services,mandwa,"Regular ferry service connecting Mandwa Jetty (Alibaug) to Mumbai's Gateway of India. Speed boat and RoRo ferries available. Book in advance on weekends for guaranteed seats.",250,"Mandwa Jetty, Alibaug, Maharashtra 402201",9999012345,info@mandwaferry.com,https://roro.mahatransport.in,,Free Parking,
Alibaug Cab & Local Transport,services,alibaug-town,"Reliable local cab and tempo traveller service covering all of Alibaug and the Konkan coast. Airport transfers, inter-city routes, and custom sightseeing packages. Available 24/7.",800,,9876554321,,,,Free Parking,
Sunrise Spa & Wellness Alibaug,services,alibaug-town,"A boutique wellness centre in Alibaug town offering Ayurvedic massages, body wraps, facial treatments, and relaxation therapies. Walk-in and pre-booked appointments available.",2000,"Market Road, Alibaug, Maharashtra 402201",9765432101,,,,WiFi|AC,
Konkan Catering Services,services,alibaug-town,"Premium Konkan-style catering for private events, villa stays, and house parties in Alibaug. Specialties include sol kadhi, fish curry, kombdi vade, and traditional sweets. Minimum 10 persons.",300,,9823412890,,,,Meals Included,
Alibaug Bike & Cycle Rentals,services,alibaug-town,"Rent bicycles, scooters, and Royal Enfield motorbikes by the hour or day to explore Alibaug's beaches and countryside at your own pace. Helmets and basic insurance included.",200,"Bus Stand Road, Alibaug, Maharashtra 402201",9823456789,,,,Free Parking,
Beachfront Plot in Mandwa,real-estate,mandwa,"Premium 4200 sq. ft. NA-converted residential plot near Mandwa Jetty with sea-facing potential. Excellent investment opportunity with rapid appreciation due to proximity to Mumbai ferry terminal and MTHL corridor.",14500000,"Mandwa Village, Alibaug, Maharashtra 402201",8010234802,info@hestiavillas.in,https://hestiavillas.in,,Free Parking,
Farmhouse Plot in Kihim,real-estate,kihim,"5000 sq. ft. agricultural plot in serene Kihim village, ideal for a private farmhouse or weekend retreat. Electricity and road connectivity available. Walking distance to Kihim butterfly sanctuary and beach.",6500000,"Kihim Village, Alibaug, Maharashtra 402201",8010234802,info@hestiavillas.in,https://hestiavillas.in,,Free Parking,
Kashid Beachside Land,real-estate,kashid,"7200 sq. ft. plot in Kashid village, 800 metres from the white-sand Kashid beach. Peaceful surroundings with sea breeze. Suitable for holiday home construction after NA conversion.",9500000,"Kashid Village, Raigad District, Maharashtra 402401",8010234802,info@hestiavillas.in,https://hestiavillas.in,,Free Parking,
Ready Villa for Sale in Awas,real-estate,awas,"Fully constructed 3-bedroom independent villa in Awas with a private swimming pool, landscaped garden, and Caretaker's quarter. Immediate possession. Suitable for personal use and vacation rental income.",28500000,"Awas Village, Alibaug, Maharashtra 402201",9881149629,info@hestiavillas.in,https://hestiavillas.in,,Pool|WiFi|Garden|Free Parking|Caretaker|AC,
Gated Farmhouse Plot in Nagaon,real-estate,nagaon,"2-Guntha (2178 sq. ft.) plot in a gated farmhouse community near Nagaon beach. Development-ready with internal roads, compound wall, electricity, and water connection. Clear title.",4200000,"Nagaon, Alibaug, Maharashtra 402201",9881149629,info@hestiavillas.in,https://hestiavillas.in,,Free Parking,
